car,model_year,country,mileage,no_of_cylinders,displacement,hp,weight,acceleration,price
chevrolet citation,1979,USA,28.8,6.0,173.0,115.0,2595.0,11.3,30000.0
oldsmobile omega brougham,1979,USA,26.8,6.0,173.0,115.0,2700.0,12.9,45923.53551
pontiac phoenix,1979,USA,33.5,4.0,151.0,90.0,2556.0,13.2,49548.62273
vw rabbit,1980,Europe,41.5,4.0,98.0,76.0,2144.0,14.7,48911.31371
toyota corolla tercel,1980,Japan,38.1,4.0,89.0,60.0,1968.0,18.8,20000.0
chevrolet chevette,1980,USA,32.1,4.0,98.0,70.0,2120.0,15.5,8400.696736
datsun 310,1980,Japan,37.2,4.0,86.0,65.0,2019.0,16.4,34035.28481
chevrolet citation,1980,USA,28.0,4.0,151.0,90.0,2678.0,16.5,34799.28206
ford fairmont,1980,USA,26.4,4.0,140.0,88.0,2870.0,18.1,17032.34506
amc concord,1980,USA,24.3,4.0,151.0,90.0,3003.0,20.1,30000.0
dodge aspen,1980,USA,19.1,6.0,225.0,90.0,3381.0,18.7,30000.0
audi 4000,1980,Europe,34.3,4.0,97.0,78.0,2188.0,15.8,40000.0
toyota corona liftback,1980,Japan,29.8,4.0,134.0,90.0,2711.0,15.5,40000.0
mazda 626,1980,Japan,31.3,4.0,120.0,75.0,2542.0,17.5,27206.13784
datsun 510 hatchback,1980,Japan,37.0,4.0,119.0,92.0,2434.0,15.0,47697.07716
toyota corolla,1980,Japan,32.2,4.0,108.0,75.0,2265.0,15.2,30000.0
mazda glc,1980,Japan,46.6,4.0,86.0,65.0,2110.0,17.9,30000.0
dodge colt,1980,USA,27.9,4.0,156.0,105.0,2800.0,14.4,52035.83362
datsun 210,1980,Japan,40.8,4.0,85.0,65.0,2110.0,19.2,26407.84375
vw rabbit c (diesel),1980,Europe,44.3,4.0,90.0,48.0,2085.0,21.7,51239.14421
vw dasher (diesel),1980,Europe,43.4,4.0,90.0,48.0,2335.0,23.7,40000.0
audi 5000s (diesel),1980,Europe,36.4,5.0,121.0,67.0,2950.0,19.9,44494.54404
mercedes-benz 240d,1980,Europe,30.0,4.0,146.0,67.0,3250.0,21.8,20000.0
honda civic 1500 gl,1980,Japan,44.6,4.0,91.0,67.0,1850.0,13.8,20000.0
renault lecar deluxe,1980,Europe,40.9,4.0,85.0,,1835.0,17.3,32650.65157
subaru dl,1980,Japan,33.8,4.0,97.0,67.0,2145.0,18.0,35335.98307
vokswagen rabbit,1980,Europe,29.8,4.0,89.0,62.0,1845.0,15.3,30000.0
datsun 280-zx,1980,Japan,32.7,6.0,168.0,132.0,2910.0,11.4,25944.32515
mazda rx-7 gs,1980,Japan,23.7,3.0,70.0,100.0,2420.0,12.5,44730.24616
triumph tr7 coupe,1980,Europe,35.0,4.0,122.0,88.0,2500.0,15.1,30000.0
ford mustang cobra,1980,USA,23.6,4.0,140.0,,2905.0,14.3,24749.73654
honda accord,1980,Japan,32.4,4.0,107.0,72.0,2290.0,17.0,40000.0
plymouth reliant,1981,USA,27.2,4.0,135.0,84.0,2490.0,15.7,43221.37222
buick skylark,1981,USA,26.6,4.0,151.0,84.0,2635.0,16.4,20000.0
dodge aries wagon (sw),1981,USA,25.8,4.0,156.0,92.0,2620.0,14.4,11460.90571
chevrolet citation,1981,USA,23.5,6.0,173.0,110.0,2725.0,12.6,40000.0
plymouth reliant,1981,USA,30.0,4.0,135.0,84.0,2385.0,12.9,33838.41277
toyota starlet,1981,Japan,39.1,4.0,79.0,58.0,1755.0,16.9,30000.0
plymouth champ,1981,USA,39.0,4.0,86.0,64.0,1875.0,16.4,24040.39328
honda civic 1300,1981,Japan,35.1,4.0,81.0,60.0,1760.0,16.1,26717.10084
subaru,1981,Japan,32.3,4.0,97.0,67.0,2065.0,17.8,13900.61538
datsun 210 mpg,1981,Japan,37.0,4.0,85.0,65.0,1975.0,19.4,17268.17018
toyota tercel,1981,Japan,37.7,4.0,89.0,62.0,2050.0,17.3,50475.68786
mazda glc 4,1981,Japan,34.1,4.0,91.0,68.0,1985.0,16.0,49150.57563
plymouth horizon 4,1981,USA,34.7,4.0,105.0,63.0,2215.0,14.9,30000.0
ford escort 4w,1981,USA,34.4,4.0,98.0,65.0,2045.0,16.2,20000.0
ford escort 2h,1981,USA,29.9,4.0,98.0,65.0,2380.0,20.7,20000.0
volkswagen jetta,1981,Europe,33.0,4.0,105.0,74.0,2190.0,14.2,30000.0
renault 18i,1981,Europe,34.5,4.0,100.0,0.0,2320.0,15.8,30000.0
honda prelude,1981,Japan,33.7,4.0,107.0,75.0,2210.0,14.4,20000.0
toyota corolla,1981,Japan,32.4,4.0,108.0,75.0,2350.0,16.8,30000.0
datsun 200sx,1981,Japan,32.9,4.0,119.0,100.0,2615.0,14.8,30000.0
mazda 626,1981,Japan,31.6,4.0,120.0,74.0,2635.0,18.3,40000.0
peugeot 505s turbo diesel,1981,Europe,28.1,4.0,141.0,80.0,3230.0,20.4,20000.0
volvo diesel,1981,Europe,30.7,6.0,145.0,76.0,3160.0,19.6,40000.0
toyota cressida,1981,Japan,25.4,6.0,168.0,116.0,2900.0,12.6,30000.0
datsun 810 maxima,1981,Japan,24.2,6.0,146.0,120.0,2930.0,13.8,32646.39951
buick century,1981,USA,22.4,6.0,231.0,110.0,3415.0,15.8,25571.46894
oldsmobile cutlass ls,1981,USA,26.6,8.0,350.0,105.0,3725.0,19.0,30000.0
ford granada gl,1981,USA,20.2,6.0,200.0,88.0,3060.0,17.1,30000.0
chrysler lebaron salon,1981,USA,17.6,6.0,225.0,85.0,3465.0,16.6,23723.77532
chevrolet cavalier,1982,USA,28.0,4.0,112.0,88.0,2605.0,19.6,27234.66428
chevrolet cavalier wagon,1982,USA,27.0,4.0,112.0,88.0,2640.0,18.6,42666.91377
chevrolet cavalier 2-door,1982,USA,34.0,4.0,112.0,88.0,2395.0,18.0,40000.0
pontiac j2000 se hatchback,1982,USA,31.0,4.0,112.0,85.0,2575.0,16.2,27074.39484
dodge aries se,1982,USA,29.0,4.0,135.0,84.0,2525.0,16.0,20000.0
pontiac phoenix,1982,USA,27.0,4.0,151.0,90.0,2735.0,18.0,33111.13808
ford fairmont futura,1982,USA,24.0,4.0,140.0,92.0,2865.0,16.4,51186.91521
amc concord dl,1982,USA,23.0,4.0,151.0,,3035.0,20.5,37179.28797
volkswagen rabbit l,1982,Europe,36.0,4.0,105.0,74.0,1980.0,15.3,33472.79144
mazda glc custom l,1982,Japan,37.0,4.0,91.0,68.0,2025.0,18.2,44607.86606
mazda glc custom,1982,Japan,31.0,4.0,91.0,68.0,1970.0,17.6,34686.42339
plymouth horizon miser,1982,USA,38.0,4.0,105.0,63.0,2125.0,14.7,48111.1021
mercury lynx l,1982,USA,36.0,4.0,98.0,70.0,2125.0,17.3,30000.0
nissan stanza xe,1982,Japan,36.0,4.0,120.0,88.0,2160.0,14.5,34612.00874
honda accord,1982,Japan,36.0,4.0,107.0,75.0,2205.0,14.5,30000.0
toyota corolla,1982,Japan,34.0,4.0,108.0,70.0,2245.0,16.9,30000.0
honda civic,1982,Japan,38.0,4.0,91.0,67.0,1965.0,15.0,30000.0
honda civic (auto),1982,Japan,32.0,4.0,91.0,67.0,1965.0,15.7,30000.0
datsun 310 gx,1982,Japan,38.0,4.0,91.0,67.0,1995.0,16.2,30000.0
buick century limited,1982,USA,25.0,6.0,181.0,110.0,2945.0,16.4,25289.83381
oldsmobile cutlass ciera (diesel),1982,USA,38.0,6.0,262.0,85.0,3015.0,17.0,9944.306349
chrysler lebaron medallion,1982,USA,26.0,4.0,156.0,92.0,2585.0,14.5,34986.21836
ford granada l,1982,USA,22.0,6.0,232.0,112.0,2835.0,14.7,22973.01943
toyota celica gt,1982,Japan,32.0,4.0,144.0,96.0,2665.0,13.9,20000.0
dodge charger 2.2,1982,USA,36.0,4.0,135.0,84.0,2370.0,13.0,17421.6269
chevrolet camaro,1982,USA,27.0,4.0,151.0,90.0,2950.0,17.3,12550.0
ford mustang gl,1982,USA,27.0,4.0,140.0,86.0,2790.0,15.6,13432.5
vw pickup,1982,Europe,44.0,4.0,97.0,52.0,2130.0,24.6,37000.0
dodge rampage,1982,USA,32.0,4.0,135.0,84.0,2295.0,11.6,47800.0
ford ranger,1982,USA,28.0,4.0,120.0,79.0,2625.0,18.6,46000.0
chevy s-10,1982,USA,31.0,4.0,119.0,82.0,2720.0,19.4,9000.0
